medv,crim,rm,age,dis,rad,tax,ptratio
8.1,0.20746,5.093,98.0,1.8226,4,711,20.1
17.4,0.32264,5.942,93.5,1.9669,4,437,21.2
22.0,0.01096,6.453,31.9,7.3073,1,300,15.3
50.0,0.02009,8.034,31.9,5.118,4,224,14.7
17.0,1.41385,6.129,96.0,1.7494,5,403,14.7
15.4,9.96654,6.485,100.0,1.9784,24,666,20.2
20.5,0.04337,6.115,63.0,6.8147,4,243,16.8
17.8,0.31827,5.914,83.2,3.9986,4,304,18.4
35.2,0.22188,7.691,51.8,4.3665,3,223,18.6
37.9,0.09103,7.155,92.2,2.7006,3,193,17.8
41.7,0.57529,8.337,73.3,3.8384,8,307,17.4
20.6,0.03306,6.059,37.3,4.8122,5,224,20.2
19.4,0.21977,5.602,62.0,6.0877,3,233,17.9
29.4,0.06664,6.546,33.1,3.1323,5,296,16.6
31.2,0.03049,6.874,28.1,6.4654,5,370,17.6
22.1,0.79041,6.122,52.8,2.6403,4,304,18.4
23.9,0.05059,6.389,48.0,4.7794,3,247,18.5
33.4,0.07503,7.42,71.9,3.0992,7,222,18.4
32.2,0.00906,7.088,20.8,7.3073,1,285,15.3
30.7,0.7857,7.014,84.6,2.1329,5,264,13.0
17.4,1.20742,5.875,94.6,2.4259,5,403,14.7
25.0,0.1265,6.762,43.4,7.9809,8,284,19.7
19.1,15.5757,5.926,71.0,2.9084,24,666,20.2
37.2,0.0578,6.98,58.4,2.829,3,193,17.8
30.1,0.6147,6.618,80.8,3.2721,8,307,17.4
14.5,1.35472,6.072,100.0,4.175,4,307,21.0
21.5,1.6566,6.122,97.3,1.618,5,403,14.7
23.4,0.04981,5.998,21.4,6.8147,4,243,16.8
23.2,0.07022,6.02,47.2,3.5549,5,296,16.6
19.4,0.26169,6.023,90.4,2.834,4,304,18.4
16.0,0.17171,5.966,93.4,6.8185,8,284,19.7
23.9,0.08265,6.127,18.4,5.5027,4,289,16.0
8.8,73.5341,5.957,100.0,1.8026,24,666,20.2
27.0,1.27346,6.25,92.6,1.7984,5,403,14.7
31.1,0.02187,6.8,9.9,6.2196,1,265,15.6
18.7,0.06151,5.968,58.5,4.8122,5,224,20.2
48.8,0.52014,8.398,91.5,2.2885,5,264,13.0
26.6,0.05735,6.63,56.1,4.4377,3,247,18.5
24.7,0.02055,6.383,35.7,9.1876,2,313,17.3
20.3,0.07165,6.004,84.1,2.1974,2,188,19.1
14.1,4.75237,6.525,86.5,2.4358,24,666,20.2
36.5,0.55007,7.206,91.6,1.9301,5,264,13.0
11.7,13.9134,6.208,95.0,2.2222,24,666,20.2
46.0,0.06129,7.645,49.7,5.2119,5,216,14.9
12.7,13.3598,5.887,94.7,1.7821,24,666,20.2
17.8,2.33099,5.186,93.8,1.5296,5,403,14.7
10.8,12.8023,5.854,96.6,1.8956,24,666,20.2
30.3,0.04666,7.107,36.6,7.309,2,329,12.6
11.0,7.36711,6.193,78.1,1.9356,24,666,20.2
18.5,0.14231,6.254,84.2,2.2565,6,432,17.8
24.4,0.22969,6.326,52.5,4.3549,4,277,18.6
25.0,0.34109,6.415,40.1,4.7211,5,287,19.6
32.5,0.10008,6.563,95.6,2.847,3,193,17.8
19.9,0.62739,5.834,56.5,4.4986,4,307,21.0
16.1,2.63548,4.973,37.8,2.5194,4,304,18.4
21.7,0.40771,6.164,91.3,3.048,8,307,17.4
14.9,7.75223,6.301,83.7,2.7831,24,666,20.2
19.6,1.19294,6.326,97.7,2.271,4,437,21.2
20.4,0.13058,5.872,73.1,2.4775,6,432,17.8
13.8,18.4982,4.138,100.0,1.137,24,666,20.2
20.2,5.82115,6.513,89.9,2.8016,24,666,20.2
21.4,7.83932,6.209,65.4,2.9634,24,666,20.2
24.3,1.34284,6.066,100.0,1.7573,5,403,14.7
23.0,5.82401,6.242,64.7,3.4242,24,666,20.2
13.3,0.2498,5.857,98.2,1.6686,4,437,21.2
20.3,0.3494,5.972,76.7,3.1025,4,304,18.4
21.4,0.11504,6.163,69.6,3.4952,2,276,18.0
17.3,0.15038,5.856,97.0,1.9444,2,188,19.1
17.8,0.54452,6.151,97.9,1.6687,4,437,21.2
22.0,0.11329,6.897,54.3,6.3361,6,300,16.6
13.8,8.05579,5.427,95.4,2.4298,24,666,20.2
14.1,9.32909,6.185,98.7,2.2616,24,666,20.2
18.4,0.32982,5.822,95.4,2.4699,4,437,21.2
22.2,0.07151,6.121,56.8,3.7476,3,247,18.5
19.3,0.17142,5.682,33.8,5.1004,3,233,17.9
13.8,2.37934,6.13,100.0,1.4191,5,403,14.7
43.5,0.5405,7.47,52.6,2.872,5,264,13.0
23.9,0.06076,6.976,91.0,2.1675,1,273,21.0
24.8,0.21409,6.438,8.9,7.3967,7,330,19.1
23.7,0.28955,5.412,9.8,3.5875,4,277,18.6
19.3,0.14476,5.731,65.2,2.7592,6,432,17.8
9.5,9.33889,6.38,95.6,1.9682,24,666,20.2
50.0,9.2323,6.216,100.0,1.1691,24,666,20.2
20.4,0.62976,5.949,61.8,4.7075,4,307,21.0
19.3,0.21161,6.137,87.4,2.7147,5,384,20.9
22.8,0.49298,6.635,82.5,3.3175,4,304,18.4
12.6,9.92485,6.251,96.6,2.198,24,666,20.2
16.2,0.25356,5.705,77.7,3.945,4,304,18.4
31.6,0.41238,7.163,79.9,3.2157,8,307,17.4
50.0,2.01019,7.929,96.2,2.0459,5,403,14.7
24.0,0.33045,6.086,61.5,3.6519,8,307,17.4
22.8,0.09164,6.065,7.8,5.2873,4,305,19.2
19.9,3.1636,5.759,48.2,3.0665,24,666,20.2
17.4,0.13554,5.594,36.8,6.498,4,345,18.9
21.8,0.17331,5.707,54.0,2.3817,6,391,19.2
26.6,0.02899,6.939,34.5,8.7921,1,335,19.7
11.8,10.6718,6.459,94.8,1.9879,24,666,20.2
17.1,9.72418,6.406,97.2,2.0651,24,666,20.2
7.4,22.5971,5.0,89.5,1.5184,24,666,20.2
20.1,0.11132,5.983,83.5,2.1099,4,711,20.1
50.0,1.51902,8.375,93.9,2.162,5,403,14.7
22.4,0.06263,6.593,69.1,2.4786,1,273,21.0
18.9,0.0136,5.888,47.6,7.3197,3,469,21.1
12.8,9.39063,5.627,93.9,1.8172,24,666,20.2
8.3,15.8603,5.896,95.4,1.9096,24,666,20.2
21.4,0.09512,6.286,45.0,4.5026,5,398,18.7
48.5,0.0351,7.853,33.2,5.118,4,224,14.7
26.5,0.11432,6.781,71.3,2.8561,5,384,20.9
23.6,0.09178,6.416,84.1,2.6463,5,296,16.6
20.0,6.80117,6.081,84.4,2.7175,24,666,20.2
24.3,0.33983,6.108,34.9,8.0555,7,330,19.1
33.0,0.01951,7.104,59.5,9.2229,3,216,18.6
36.1,0.05515,7.236,41.1,4.022,7,222,18.4
15.6,0.97617,5.757,98.4,2.346,4,437,21.2
19.6,4.03841,6.229,90.7,3.0993,24,666,20.2
22.8,0.10084,6.715,81.6,2.6775,6,432,17.8
28.7,0.05302,7.079,63.1,3.4145,2,270,17.8
13.1,2.44668,5.272,94.0,1.7364,5,403,14.7
19.2,0.15098,6.021,82.6,2.7474,6,432,17.8
24.4,0.1403,6.487,13.0,7.3967,7,330,19.1
21.8,2.81838,5.762,40.3,4.0983,24,666,20.2
32.7,0.01301,7.241,49.3,7.0379,1,284,15.5
36.4,0.08664,7.178,26.3,6.4798,5,398,15.2
48.3,0.33147,8.247,70.4,3.6519,8,307,17.4
22.7,5.20177,6.127,83.4,2.7227,24,666,20.2
18.6,0.22876,6.405,85.4,2.7147,5,384,20.9
16.7,4.87141,6.484,93.6,2.3053,24,666,20.2
23.9,0.02543,6.696,56.4,5.7321,5,370,17.6
32.0,0.07875,6.782,41.1,3.7886,5,398,15.2
29.1,0.01439,6.604,18.8,6.2196,1,265,15.6
21.6,0.02731,6.421,78.9,4.9671,2,242,17.8
25.0,0.02875,6.211,28.9,3.6659,4,270,18.2
19.8,0.04544,6.144,32.2,5.8736,4,430,16.9
23.7,5.70818,6.75,74.9,3.3317,24,666,20.2
35.4,0.03705,6.968,37.2,5.2447,5,216,14.9
19.5,0.03427,5.869,46.3,5.2311,5,224,20.2
30.5,0.06911,6.739,30.8,6.4798,5,398,15.2
22.2,0.05083,6.316,38.1,6.4584,5,224,20.2
19.1,4.42228,6.003,94.5,2.5403,24,666,20.2
24.6,0.05425,6.315,73.4,3.3175,5,296,16.6
19.4,2.14918,5.709,98.5,1.6232,5,403,14.7
31.0,0.82526,7.327,94.5,2.0788,5,264,13.0
32.9,0.01778,7.135,13.9,7.6534,3,402,17.0
19.4,0.26363,6.229,91.2,2.5451,5,384,20.9
11.7,8.79212,5.565,70.6,2.0635,24,666,20.2
12.5,5.87205,6.405,96.0,1.6768,24,666,20.2
22.5,0.05188,6.015,45.1,4.4272,3,247,18.5
13.4,3.32105,5.403,100.0,1.3216,5,403,14.7
26.2,0.19073,6.718,17.5,7.8265,7,330,19.1
24.5,0.01501,6.635,29.7,8.344,4,280,17.0
31.5,0.44178,6.552,21.4,3.3751,8,307,17.4
21.7,3.8497,6.395,91.0,2.5052,24,666,20.2
24.1,0.07896,6.273,6.0,4.2515,5,398,18.7
13.6,1.25179,5.57,98.1,3.7979,4,307,21.0
19.7,0.08873,5.963,45.7,6.8147,4,243,16.8
42.8,0.36894,8.259,8.4,8.9067,7,330,19.1
13.6,0.10574,5.983,98.8,1.8681,4,711,20.1
35.1,0.21038,6.812,32.2,4.1007,5,216,14.9
23.1,0.0187,6.516,27.7,8.5353,4,351,17.9
31.6,0.01432,6.816,40.5,8.3248,5,256,15.1
26.4,0.09266,6.495,18.4,5.4917,7,329,16.1
28.0,0.04113,6.727,33.5,5.4007,4,281,19.0
24.7,0.17505,5.966,30.2,3.8473,5,279,19.2
10.4,25.9406,5.304,89.1,1.6475,24,666,20.2
10.5,22.0511,5.818,92.4,1.8662,24,666,20.2
24.6,0.19186,6.431,14.7,5.4159,5,287,19.6
17.2,7.40389,5.617,97.9,1.4547,24,666,20.2
7.0,45.7461,4.519,100.0,1.6582,24,666,20.2
21.7,0.09378,5.889,39.0,5.4509,5,311,15.2
13.5,8.20058,5.936,80.3,2.7792,24,666,20.2
23.1,0.13914,5.572,88.5,2.5961,5,296,16.6
15.2,0.15086,5.454,92.7,1.8209,4,711,20.1
24.5,0.16439,6.433,49.1,7.8265,7,330,19.1
10.9,37.6619,6.202,78.7,1.8629,24,666,20.2
15.7,0.38735,5.613,95.6,1.7572,2,188,19.1
19.8,0.24522,5.782,71.7,4.0317,4,304,18.4
